ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,targetWeaponId,swordArtsTableId,attachEffectTableId_1,attachEffectTableId_2,attachEffectTableId_3,weaponLevel,isCursed,unknown_1,magicTableId_1,magicTableId_2,attachEffectTableId_4,attachEffectTableId_5,attachEffectTableId_6,
2120000,[Rare] Ringed Knight Staight Sword,1,0,[0|0|0],2120000,132,501200200,-1,-1,0,0,0,-1,-1,620000000,501200200,505200200
2120060,[Rot] Ringed Knight Staight Sword,1,0,[0|0|0],2120000,132,808110402,-1,-1,0,0,0,-1,-1,620000000,808110402,505200200
2120070,[Sleep] Ringed Knight Staight Sword,1,0,[0|0|0],2120000,132,808110202,-1,-1,0,0,0,-1,-1,620000000,808110202,505200200
2125000,[Unique] Ringed Knight Staight Sword,1,0,[0|0|0],2120000,132,630000000,501200200,810000000,0,1,0,-1,-1,630000000,501200200,810000000
2125060,[Unique Rot] Ringed Knight Staight Sword,1,0,[0|0|0],2120000,132,630000000,808110402,810000000,0,1,0,-1,-1,630000000,808110402,810000000
2125070,[Unique Sleep] Ringed Knight Staight Sword,1,0,[0|0|0],2120000,132,630000000,808110202,810000000,0,1,0,-1,-1,630000000,808110202,810000000
2130000,[Common] Broken Straight Sword,1,0,[0|0|0],2130000,-1,501200000,-1,-1,0,0,0,-1,-1,-1,-1,-1
2160000,[Rare] Lothric's Holy Sword,1,0,[0|0|0],2160000,-1,501200200,-1,-1,0,0,0,-1,-1,620000000,501200200,505200200
2165000,[Unique] Lothric's Holy Sword,1,0,[0|0|0],2160000,-1,630000000,501200200,810000000,0,1,0,-1,-1,630000000,501200200,810000000
2530000,[Rare] Carian Thrusting Sword,1,0,[0|0|0],2530000,-1,501200200,-1,-1,0,0,0,5000000,5000000,620000000,501200200,505200200
2530060,[Rot] Carian Thrusting Sword,1,0,[0|0|0],2530000,-1,808110402,-1,-1,0,0,0,5000000,5000000,620000000,808110402,505200200
2530070,[Sleep] Carian Thrusting Sword,1,0,[0|0|0],2530000,-1,808110202,-1,-1,0,0,0,5000000,5000000,620000000,808110202,505200200
2535000,[Unique] Carian Thrusting Sword,1,0,[0|0|0],2530000,-1,630000000,501200200,810000000,0,1,0,5000000,5000000,630000000,501200200,810000000
2535060,[Unique Rot] Carian Thrusting Sword,1,0,[0|0|0],2530000,-1,630000000,808110402,810000000,0,1,0,5000000,5000000,630000000,808110402,810000000
2535070,[Unique Sleep] Carian Thrusting Sword,1,0,[0|0|0],2530000,-1,630000000,808110202,810000000,0,1,0,5000000,5000000,630000000,808110202,810000000
2550000,[Rare] Sword of Light,1,0,[0|0|0],2550000,5020,501200200,-1,-1,0,0,0,-1,-1,620000000,501200200,505200200
2550060,[Rot] Sword of Light,1,0,[0|0|0],2550000,5020,808110402,-1,-1,0,0,0,-1,-1,620000000,808110402,505200200
2550070,[Sleep] Sword of Light,1,0,[0|0|0],2550000,5020,808110202,-1,-1,0,0,0,-1,-1,620000000,808110202,505200200
2555000,[Unique] Sword of Light,1,0,[0|0|0],2550000,5020,630000000,501200200,810000000,0,1,0,-1,-1,630000000,501200200,810000000
2555060,[Unique Rot] Sword of Light,1,0,[0|0|0],2550000,5020,630000000,808110402,810000000,0,1,0,-1,-1,630000000,808110402,810000000
2555070,[Unique Sleep] Sword of Light,1,0,[0|0|0],2550000,5020,630000000,808110202,810000000,0,1,0,-1,-1,630000000,808110202,810000000
2560000,[Rare] Sword of Darkness,1,0,[0|0|0],2560000,5030,501200200,-1,-1,0,0,0,-1,-1,620000000,501200200,505200200
2560060,[Rot] Sword of Darkness,1,0,[0|0|0],2560000,5030,808110402,-1,-1,0,0,0,-1,-1,620000000,808110402,505200200
2560070,[Sleep] Sword of Darkness,1,0,[0|0|0],2560000,5030,808110202,-1,-1,0,0,0,-1,-1,620000000,808110202,505200200
2565000,[Unique] Sword of Darkness,1,0,[0|0|0],2560000,5030,630000000,501200200,810000000,0,1,0,-1,-1,630000000,501200200,810000000
2565060,[Unique Rot] Sword of Darkness,1,0,[0|0|0],2560000,5030,630000000,808110402,810000000,0,1,0,-1,-1,630000000,808110402,810000000
2565070,[Unique Sleep] Sword of Darkness,1,0,[0|0|0],2560000,5030,630000000,808110202,810000000,0,1,0,-1,-1,630000000,808110202,810000000
2570000,[Uncommon] Gotthard Twinswords,1,0,[0|0|0],2570000,-1,501200100,-1,-1,0,0,0,-1,-1,610000000,501200100,505200100
2570050,[Untyped] Gotthard Twinswords,1,0,[0|0|0],2570000,-1,501200100,-1,-1,0,0,0,-1,-1,610000000,501200100,505200100
2570060,[Rot] Gotthard Twinswords,1,0,[0|0|0],2570000,-1,808110401,-1,-1,0,0,0,-1,-1,610000000,808110401,505200100
2570070,[Sleep] Gotthard Twinswords,1,0,[0|0|0],2570000,-1,808110201,-1,-1,0,0,0,-1,-1,610000000,808110202,505200100
2570100,[Elemental] Gotthard Twinswords,1,0,[0|0|0],2570000,20000100,501200100,-1,-1,0,0,0,-1,-1,610000000,501200100,505200100
2570500,[Fire] Gotthard Twinswords,1,0,[0|0|0],2570500,20000500,501200100,-1,-1,0,0,0,-1,-1,610000000,501200100,505200100
