ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,magicId,chanceWeight,
6901,[Incantation] Knight's Lightning Spear,1,0,[0|0|0],2006900,100
6902,[Incantation] Lightning Stake,1,0,[0|0|0],6905,100
6903,[Incantation] Lightning Arrow,1,0,[0|0|0],6906,100
2004320,[Sorcery] Rellana's Twin Moons,1,0,[0|0|0],2004320,200
2004710,[Sorcery] Gravitational Missile,1,0,[0|0|0],2004710,100
2007210,[Incantation] Pest-Thread Spears,1,0,[0|0|0],2007210,100
5000000,<Table> Carian Sorcery Sword (Carian Greatsword),1,0,[0|0|0],4430,100
5000000,<Table> Carian Sorcery Sword (Old Moonlight),1,0,[0|0|0],5111,100
5000000,<Table> Carian Sorcery Sword (Stars of RUin),1,0,[0|0|0],4220,100
5000000,<Table> Carian Sorcery Sword (Rellana's Twin Moons),1,0,[0|0|0],2004320,100
5000000,<Table> Carian Sorcery Sword (Graviational Missile),1,0,[0|0|0],2004710,100
5000000,<Table> Carian Sorcery Sword (Adula's Moonblade),1,0,[0|0|0],4431,100
5000000,<Table> Carian Sorcery Sword (Carian Piercer),1,0,[0|0|0],4450,100
5000000,<Table> Carian Sorcery Sword (Carian Slicer),1,0,[0|0|0],4440,100
5100000,<Table> Demon's Scar (Flame- Fall Upon Them),1,0,[0|0|0],6020,100
5100000,<Table> Demon's Scar (Black Serpent),1,0,[0|0|0],6908,100
5100000,<Table> Demon's Scar (Catch Flame),1,0,[0|0|0],6000,100
5100000,<Table> Demon's Scar (Scouring Black Flame),1,0,[0|0|0],6230,100
5100000,<Table> Demon's Scar (Bloodboon),1,0,[0|0|0],6310,100
5100000,<Table> Demon's Scar (Bloodflame Talons),1,0,[0|0|0],6300,100
5100000,<Table> Demon's Scar (Noble Presence),1,0,[0|0|0],6270,100
5100000,<Table> Demon's Scar (Black Flame Ritual),1,0,[0|0|0],6240,100
5100000,<Table> Demon's Scar (Black Flame),1,0,[0|0|0],6210,100
